keyword,search_volume,keyword_difficulty,cpc,intent,funnel_stage,serp_features,content_format_needed,mapped_feature_ids,mapped_blog_slugs,cluster_id,content_type,priority,status,last_updated,source,notes
college event management,0,0,0,commercial-investigation,awareness,,pillar-guide,feat_event_creation|feat_task_board|feat_event_chat,college-event-management,tc_college_event_mgmt,pillar,high,planned,2026-04-03,user-provided,Primary topic seed
college event hosting,0,0,0,commercial-investigation,awareness,,pillar-guide,feat_event_creation|feat_event_discovery|feat_participant_list,college-event-hosting,tc_college_event_hosting,pillar,high,planned,2026-04-03,user-provided,Primary topic seed
event hosting platform,0,0,0,commercial-investigation,consideration,,comparison,feat_event_creation|feat_payment_processing|feat_analytics,event-hosting-platform,tc_event_hosting,pillar,high,planned,2026-04-03,user-provided,Primary topic seed
free college event hosting,0,0,0,commercial-investigation,consideration,,how-to|article,feat_event_creation|feat_event_discovery|feat_free_events,,tc_free_event_hosting,cluster,medium,planned,2026-04-03,user-provided,High commercial intent
free college event management platform,0,0,0,commercial-investigation,consideration,,comparison,feat_event_creation|feat_task_board|feat_analytics,,tc_free_event_management,cluster,high,planned,2026-04-03,user-provided,Primary topic seed
MyFestivo vs Eventbrite,0,0,0,commercial-investigation,decision,,comparison,all,myfestivo-vs-eventbrite,tc_college_event_mgmt,cluster,high,planned,2026-04-03,derived,Direct competitor comparison
MyFestivo vs iCommunify,0,0,0,commercial-investigation,decision,,comparison,all,myfestivo-vs-icommunify,tc_college_event_mgmt,cluster,high,planned,2026-04-03,derived,Direct competitor comparison
best college event management platform,0,0,0,commercial-investigation,decision,,listicle,feat_event_creation|feat_analytics|feat_team_registration,best-college-event-platforms,tc_college_event_mgmt,cluster,high,planned,2026-04-03,derived,Buyer decision stage
college event planning guide,0,0,0,informational,awareness,,pillar-guide,feat_event_creation|feat_task_board|feat_announcements,college-event-planning,tc_event_planning,cluster,medium,planned,2026-04-03,derived,Educational content
how to create a college event,0,0,0,informational,awareness,,how-to,feat_event_creation,how-to-create-college-event,tc_event_planning,cluster,medium,planned,2026-04-03,derived,Instructional
college event registration system,0,0,0,commercial-investigation,awareness,,pillar-guide,feat_team_registration|feat_registration_confirmation|feat_duplicate_prevention,college-event-registration,tc_registration,pillar,medium,planned,2026-04-03,derived,Feature cluster
QR code event check-in,0,0,0,informational,awareness,,how-to,feat_qr_scanning|feat_attendance_tracking,qr-event-checkin,tc_attendance,cluster,medium,planned,2026-04-03,derived,Technical feature
event task management tools,0,0,0,commercial-investigation,awareness,,comparison,feat_task_board,event-task-management,tc_coordination,cluster,medium,planned,2026-04-03,derived,Feature discovery
college event payment processing,0,0,0,commercial-investigation,awareness,,pillar-guide,feat_razorpay_integration|feat_payment_approval_workflow,college-event-payments,tc_payment,pillar,medium,planned,2026-04-03,derived,Feature cluster
Eventbrite alternative for colleges,0,0,0,commercial-investigation,decision,,comparison,feat_event_creation|feat_payment_processing|feat_lower_fees,eventbrite-alternative,tc_event_hosting,cluster,high,planned,2026-04-03,derived,Competitive positioning
real-time event communication,0,0,0,informational,awareness,,how-to,feat_event_chat|feat_announcements|feat_notifications,event-communication,tc_communication,cluster,low,planned,2026-04-03,derived,Technical feature
college event analytics,0,0,0,informational,awareness,,how-to,feat_event_insights|feat_finance_dashboard,college-event-analytics,tc_analytics,cluster,low,planned,2026-04-03,derived,Feature benefit
student event coordination,0,0,0,informational,awareness,,how-to,feat_coordinator_assignment|feat_task_board,student-event-coordination,tc_coordination,cluster,medium,planned,2026-04-03,derived,Audience-specific
free event management system,0,0,0,commercial-investigation,awareness,,comparison,feat_event_creation|feat_task_board|feat_chat,free-event-management,tc_free_event_management,cluster,high,planned,2026-04-03,derived,Price-sensitive audience
college event promotion,0,0,0,informational,awareness,,how-to,feat_og_meta_tags|feat_event_discovery|feat_event_sharing,college-event-promotion,tc_discovery,cluster,medium,planned,2026-04-03,derived,Marketing angle
